end_date,school_cycle,start_date,Holdback students (sum).,Incoming students (sum).,School groups (sum).,Schools (sum).,Teachers (sum).,Total students (sum).,oversight_type,grade_study,geography,schooling_type
2022-06-30,2021-2022,2021-08-01,,897.0,39.0,13.0,29.0,897.0,Private,Nursery school,Baja California Sur,On-site education
2022-06-30,2021-2022,2021-08-01,,20947.0,1079.0,332.0,1060.0,20947.0,Public,Pre-school,Baja California Sur,On-site education
2022-06-30,2021-2022,2021-08-01,,856.0,73.0,18.0,36.0,856.0,Public,Nursery school,Baja California Sur,On-site education
2022-06-30,2021-2022,2021-08-01,,2980.0,233.0,92.0,225.0,2980.0,Private,Pre-school,Baja California Sur,Mixed
2022-06-30,2021-2022,2021-08-01,,897.0,39.0,13.0,29.0,897.0,Private,Nursery school,Baja California Sur,Mixed
2022-06-30,2021-2022,2021-08-01,,20947.0,1079.0,332.0,1060.0,20947.0,Public,Pre-school,Baja California Sur,Mixed
2022-06-30,2021-2022,2021-08-01,,856.0,73.0,18.0,36.0,856.0,Public,Nursery school,Baja California Sur,Mixed
2023-06-30,2022-2023,2022-08-01,,3815.0,228.0,84.0,221.0,3815.0,Private,Pre-school,Baja California Sur,On-site education
2023-06-30,2022-2023,2022-08-01,,965.0,62.0,14.0,35.0,965.0,Private,Nursery school,Baja California Sur,On-site education
2023-06-30,2022-2023,2022-08-01,,21265.0,1042.0,317.0,1021.0,21265.0,Public,Pre-school,Baja California Sur,On-site education
2023-06-30,2022-2023,2022-08-01,,985.0,92.0,17.0,44.0,985.0,Public,Nursery school,Baja California Sur,On-site education
2023-06-30,2022-2023,2022-08-01,,3815.0,228.0,84.0,221.0,3815.0,Private,Pre-school,Baja California Sur,Mixed
2023-06-30,2022-2023,2022-08-01,,965.0,62.0,14.0,35.0,965.0,Private,Nursery school,Baja California Sur,Mixed
2023-06-30,2022-2023,2022-08-01,,21265.0,1042.0,317.0,1021.0,21265.0,Public,Pre-school,Baja California Sur,Mixed
2023-06-30,2022-2023,2022-08-01,,985.0,92.0,17.0,44.0,985.0,Public,Nursery school,Baja California Sur,Mixed
2022-06-30,2021-2022,2021-08-01,,,140.0,34.0,533.0,2433.0,Private,High school,Baja California Sur,Mixed
2022-06-30,2021-2022,2021-08-01,,,965.0,130.0,2721.0,31056.0,Public,High school,Baja California Sur,Mixed
2023-06-30,2022-2023,2022-08-01,,,141.0,33.0,518.0,2814.0,Private,High school,Baja California Sur,Mixed
2023-06-30,2022-2023,2022-08-01,,,976.0,131.0,2549.0,31721.0,Public,High school,Baja California Sur,Mixed
2022-06-30,2021-2022,2021-08-01,0.0,2058.0,0.0,6.0,24.0,2058.0,Public,High school,Campeche,Remote schooling
2022-06-30,2021-2022,2021-08-01,119.0,6712.0,460.0,61.0,450.0,6831.0,Private,Elementary school,Campeche,On-site education
2022-06-30,2021-2022,2021-08-01,21.0,4403.0,218.0,45.0,530.0,4424.0,Private,Middle school,Campeche,On-site education
2022-06-30,2021-2022,2021-08-01,51.0,2254.0,146.0,46.0,521.0,2305.0,Private,High school,Campeche,On-site education
2022-06-30,2021-2022,2021-08-01,307.0,91738.0,3832.0,700.0,3837.0,92045.0,Public,Elementary school,Campeche,On-site education
2022-06-30,2021-2022,2021-08-01,256.0,40244.0,1558.0,313.0,2422.0,40500.0,Public,Middle school,Campeche,On-site education
2022-06-30,2021-2022,2021-08-01,1543.0,31656.0,1113.0,105.0,2616.0,33199.0,Public,High school,Campeche,On-site education
2022-06-30,2021-2022,2021-08-01,119.0,6712.0,460.0,61.0,450.0,6831.0,Private,Elementary school,Campeche,Mixed
2022-06-30,2021-2022,2021-08-01,21.0,4403.0,218.0,45.0,530.0,4424.0,Private,Middle school,Campeche,Mixed
2022-06-30,2021-2022,2021-08-01,307.0,91738.0,3832.0,700.0,3837.0,92045.0,Public,Elementary school,Campeche,Mixed
2022-06-30,2021-2022,2021-08-01,256.0,40244.0,1558.0,313.0,2422.0,40500.0,Public,Middle school,Campeche,Mixed
2023-06-30,2022-2023,2022-08-01,0.0,2205.0,0.0,6.0,26.0,2205.0,Public,High school,Campeche,Remote schooling
2023-06-30,2022-2023,2022-08-01,265.0,7103.0,458.0,59.0,447.0,7368.0,Private,Elementary school,Campeche,On-site education
2023-06-30,2022-2023,2022-08-01,102.0,4507.0,220.0,44.0,510.0,4609.0,Private,Middle school,Campeche,On-site education
2023-06-30,2022-2023,2022-08-01,86.0,2329.0,146.0,44.0,517.0,2415.0,Private,High school,Campeche,On-site education
2023-06-30,2022-2023,2022-08-01,569.0,90275.0,3845.0,703.0,3840.0,90844.0,Public,Elementary school,Campeche,On-site education
2023-06-30,2022-2023,2022-08-01,402.0,39691.0,1589.0,323.0,2487.0,40093.0,Public,Middle school,Campeche,On-site education
2023-06-30,2022-2023,2022-08-01,992.0,33045.0,1100.0,104.0,2640.0,34037.0,Public,High school,Campeche,On-site education
2023-06-30,2022-2023,2022-08-01,265.0,7103.0,458.0,59.0,447.0,7368.0,Private,Elementary school,Campeche,Mixed
2023-06-30,2022-2023,2022-08-01,102.0,4507.0,220.0,44.0,510.0,4609.0,Private,Middle school,Campeche,Mixed
2023-06-30,2022-2023,2022-08-01,569.0,90275.0,3845.0,703.0,3840.0,90844.0,Public,Elementary school,Campeche,Mixed
2023-06-30,2022-2023,2022-08-01,402.0,39691.0,1589.0,323.0,2487.0,40093.0,Public,Middle school,Campeche,Mixed
2022-06-30,2021-2022,2021-08-01,,1809.0,198.0,76.0,196.0,1809.0,Private,Pre-school,Campeche,On-site education
2022-06-30,2021-2022,2021-08-01,,370.0,38.0,13.0,4.0,370.0,Private,Nursery school,Campeche,On-site education
2022-06-30,2021-2022,2021-08-01,,29654.0,1623.0,628.0,1629.0,29654.0,Public,Pre-school,Campeche,On-site education
2022-06-30,2021-2022,2021-08-01,,2773.0,175.0,133.0,166.0,2773.0,Public,Nursery school,Campeche,On-site education
2022-06-30,2021-2022,2021-08-01,,1809.0,198.0,76.0,196.0,1809.0,Private,Pre-school,Campeche,Mixed
2022-06-30,2021-2022,2021-08-01,,370.0,38.0,13.0,4.0,370.0,Private,Nursery school,Campeche,Mixed
2022-06-30,2021-2022,2021-08-01,,29654.0,1623.0,628.0,1629.0,29654.0,Public,Pre-school,Campeche,Mixed
2022-06-30,2021-2022,2021-08-01,,2773.0,175.0,133.0,166.0,2773.0,Public,Nursery school,Campeche,Mixed
2023-06-30,2022-2023,2022-08-01,,2530.0,215.0,74.0,215.0,2530.0,Private,Pre-school,Campeche,On-site education
2023-06-30,2022-2023,2022-08-01,,486.0,40.0,11.0,4.0,486.0,Private,Nursery school,Campeche,On-site education
2023-06-30,2022-2023,2022-08-01,,30356.0,1627.0,631.0,1635.0,30356.0,Public,Pre-school,Campeche,On-site education
2023-06-30,2022-2023,2022-08-01,,2760.0,170.0,124.0,157.0,2760.0,Public,Nursery school,Campeche,On-site education
2023-06-30,2022-2023,2022-08-01,,2530.0,215.0,74.0,215.0,2530.0,Private,Pre-school,Campeche,Mixed
2023-06-30,2022-2023,2022-08-01,,486.0,40.0,11.0,4.0,486.0,Private,Nursery school,Campeche,Mixed
2023-06-30,2022-2023,2022-08-01,,30356.0,1627.0,631.0,1635.0,30356.0,Public,Pre-school,Campeche,Mixed
2023-06-30,2022-2023,2022-08-01,,2760.0,170.0,124.0,157.0,2760.0,Public,Nursery school,Campeche,Mixed
2022-06-30,2021-2022,2021-08-01,,,146.0,46.0,521.0,2305.0,Private,High school,Campeche,Mixed
2022-06-30,2021-2022,2021-08-01,,,1113.0,111.0,2640.0,35257.0,Public,High school,Campeche,Mixed
2023-06-30,2022-2023,2022-08-01,,,146.0,44.0,517.0,2415.0,Private,High school,Campeche,Mixed
2023-06-30,2022-2023,2022-08-01,,,1100.0,110.0,2666.0,36242.0,Public,High school,Campeche,Mixed
2022-06-30,2021-2022,2021-08-01,0.0,4485.0,3.0,9.0,263.0,4485.0,Public,High school,Chiapas,Remote schooling
2022-06-30,2021-2022,2021-08-01,62.0,20046.0,1184.0,197.0,1184.0,20108.0,Private,Elementary school,Chiapas,On-site education
2022-06-30,2021-2022,2021-08-01,26.0,9895.0,512.0,134.0,1447.0,9921.0,Private,Middle school,Chiapas,On-site education
2022-06-30,2021-2022,2021-08-01,1109.0,10254.0,720.0,136.0,2733.0,11363.0,Private,High school,Chiapas,On-site education
2022-06-30,2021-2022,2021-08-01,1138.0,772246.0,30325.0,8220.0,30492.0,773384.0,Public,Elementary school,Chiapas,On-site education
2022-06-30,2021-2022,2021-08-01,986.0,281446.0,11454.0,2498.0,14465.0,282432.0,Public,Middle school,Chiapas,On-site education
2022-06-30,2021-2022,2021-08-01,2.0,292.0,10.0,2.0,24.0,294.0,Public,Technical school,Chiapas,On-site education
2022-06-30,2021-2022,2021-08-01,3603.0,193723.0,7047.0,912.0,11893.0,197326.0,Public,High school,Chiapas,On-site education
2022-06-30,2021-2022,2021-08-01,62.0,20046.0,1184.0,197.0,1184.0,20108.0,Private,Elementary school,Chiapas,Mixed
2022-06-30,2021-2022,2021-08-01,26.0,9895.0,512.0,134.0,1447.0,9921.0,Private,Middle school,Chiapas,Mixed
2022-06-30,2021-2022,2021-08-01,1138.0,772246.0,30325.0,8220.0,30492.0,773384.0,Public,Elementary school,Chiapas,Mixed
2022-06-30,2021-2022,2021-08-01,986.0,281446.0,11454.0,2498.0,14465.0,282432.0,Public,Middle school,Chiapas,Mixed
2023-06-30,2022-2023,2022-08-01,0.0,4163.0,7.0,9.0,265.0,4163.0,Public,High school,Chiapas,Remote schooling
2023-06-30,2022-2023,2022-08-01,71.0,21488.0,1261.0,200.0,1220.0,21559.0,Private,Elementary school,Chiapas,On-site education
2023-06-30,2022-2023,2022-08-01,202.0,9889.0,522.0,136.0,1483.0,10091.0,Private,Middle school,Chiapas,On-site education
2023-06-30,2022-2023,2022-08-01,764.0,10743.0,688.0,139.0,2135.0,11507.0,Private,High school,Chiapas,On-site education
2023-06-30,2022-2023,2022-08-01,1696.0,773354.0,32256.0,8258.0,31819.0,775050.0,Public,Elementary school,Chiapas,On-site education
2023-06-30,2022-2023,2022-08-01,1082.0,281129.0,11396.0,2593.0,14680.0,282211.0,Public,Middle school,Chiapas,On-site education
2023-06-30,2022-2023,2022-08-01,5.0,328.0,10.0,2.0,23.0,333.0,Public,Technical school,Chiapas,On-site education
2023-06-30,2022-2023,2022-08-01,4904.0,191029.0,7078.0,916.0,12635.0,195933.0,Public,High school,Chiapas,On-site education
2023-06-30,2022-2023,2022-08-01,71.0,21488.0,1261.0,200.0,1220.0,21559.0,Private,Elementary school,Chiapas,Mixed
2023-06-30,2022-2023,2022-08-01,202.0,9889.0,522.0,136.0,1483.0,10091.0,Private,Middle school,Chiapas,Mixed
2023-06-30,2022-2023,2022-08-01,1696.0,773354.0,32256.0,8258.0,31819.0,775050.0,Public,Elementary school,Chiapas,Mixed
2023-06-30,2022-2023,2022-08-01,1082.0,281129.0,11396.0,2593.0,14680.0,282211.0,Public,Middle school,Chiapas,Mixed
2022-06-30,2021-2022,2021-08-01,,7574.0,599.0,239.0,595.0,7574.0,Private,Pre-school,Chiapas,On-site education
2022-06-30,2021-2022,2021-08-01,,1158.0,102.0,18.0,100.0,1158.0,Private,Nursery school,Chiapas,On-site education
2022-06-30,2021-2022,2021-08-01,,269815.0,12934.0,7020.0,12897.0,269815.0,Public,Pre-school,Chiapas,On-site education
2022-06-30,2021-2022,2021-08-01,,5065.0,277.0,244.0,255.0,5065.0,Public,Nursery school,Chiapas,On-site education
2022-06-30,2021-2022,2021-08-01,,7574.0,599.0,239.0,595.0,7574.0,Private,Pre-school,Chiapas,Mixed
2022-06-30,2021-2022,2021-08-01,,1158.0,102.0,18.0,100.0,1158.0,Private,Nursery school,Chiapas,Mixed
2022-06-30,2021-2022,2021-08-01,,269815.0,12934.0,7020.0,12897.0,269815.0,Public,Pre-school,Chiapas,Mixed
2022-06-30,2021-2022,2021-08-01,,5065.0,277.0,244.0,255.0,5065.0,Public,Nursery school,Chiapas,Mixed
2023-06-30,2022-2023,2022-08-01,,9430.0,638.0,239.0,637.0,9430.0,Private,Pre-school,Chiapas,On-site education
2023-06-30,2022-2023,2022-08-01,,1409.0,114.0,18.0,42.0,1409.0,Private,Nursery school,Chiapas,On-site education
2023-06-30,2022-2023,2022-08-01,,283642.0,13437.0,7103.0,13445.0,283642.0,Public,Pre-school,Chiapas,On-site education
2023-06-30,2022-2023,2022-08-01,,5435.0,315.0,240.0,247.0,5435.0,Public,Nursery school,Chiapas,On-site education
2023-06-30,2022-2023,2022-08-01,,9430.0,638.0,239.0,637.0,9430.0,Private,Pre-school,Chiapas,Mixed
2023-06-30,2022-2023,2022-08-01,,1409.0,114.0,18.0,42.0,1409.0,Private,Nursery school,Chiapas,Mixed
2023-06-30,2022-2023,2022-08-01,,283642.0,13437.0,7103.0,13445.0,283642.0,Public,Pre-school,Chiapas,Mixed
2023-06-30,2022-2023,2022-08-01,,5435.0,315.0,240.0,247.0,5435.0,Public,Nursery school,Chiapas,Mixed
2022-06-30,2021-2022,2021-08-01,,,722.0,137.0,2741.0,11411.0,Private,High school,Chiapas,Mixed
2022-06-30,2021-2022,2021-08-01,,,10.0,2.0,24.0,294.0,Public,Technical school,Chiapas,Mixed
2022-06-30,2021-2022,2021-08-01,,,7050.0,921.0,12156.0,201811.0,Public,High school,Chiapas,Mixed
2023-06-30,2022-2023,2022-08-01,,,690.0,140.0,2143.0,11557.0,Private,High school,Chiapas,Mixed
2023-06-30,2022-2023,2022-08-01,,,10.0,2.0,23.0,333.0,Public,Technical school,Chiapas,Mixed
2023-06-30,2022-2023,2022-08-01,,,7085.0,925.0,12900.0,200096.0,Public,High school,Chiapas,Mixed
2022-06-30,2021-2022,2021-08-01,0.0,9422.0,3.0,13.0,84.0,9422.0,Public,High school,Chihuahua,Remote schooling
2022-06-30,2021-2022,2021-08-01,356.0,36869.0,1355.0,248.0,1355.0,37225.0,Private,Elementary school,Chihuahua,On-site education
2022-06-30,2021-2022,2021-08-01,134.0,19335.0,834.0,150.0,1727.0,19469.0,Private,Middle school,Chihuahua,On-site education
2022-06-30,2021-2022,2021-08-01,266.0,2621.0,128.0,22.0,371.0,2887.0,Private,Technical school,Chihuahua,On-site education
2022-06-30,2021-2022,2021-08-01,4074.0,19628.0,1099.0,189.0,2429.0,23702.0,Private,High school,Chihuahua,On-site education
2022-06-30,2021-2022,2021-08-01,3561.0,370478.0,15241.0,2498.0,15262.0,374039.0,Public,Elementary school,Chihuahua,On-site education
2022-06-30,2021-2022,2021-08-01,1378.0,172408.0,5833.0,885.0,8821.0,173786.0,Public,Middle school,Chihuahua,On-site education
2022-06-30,2021-2022,2021-08-01,6021.0,110124.0,3552.0,400.0,9256.0,116145.0,Public,High school,Chihuahua,On-site education
2022-06-30,2021-2022,2021-08-01,356.0,36869.0,1355.0,248.0,1355.0,37225.0,Private,Elementary school,Chihuahua,Mixed
2022-06-30,2021-2022,2021-08-01,134.0,19335.0,834.0,150.0,1727.0,19469.0,Private,Middle school,Chihuahua,Mixed
2022-06-30,2021-2022,2021-08-01,3561.0,370478.0,15241.0,2498.0,15262.0,374039.0,Public,Elementary school,Chihuahua,Mixed
2022-06-30,2021-2022,2021-08-01,1378.0,172408.0,5833.0,885.0,8821.0,173786.0,Public,Middle school,Chihuahua,Mixed
2023-06-30,2022-2023,2022-08-01,0.0,10289.0,6.0,12.0,80.0,10289.0,Public,High school,Chihuahua,Remote schooling
2023-06-30,2022-2023,2022-08-01,347.0,38482.0,1349.0,241.0,1349.0,38829.0,Private,Elementary school,Chihuahua,On-site education
2023-06-30,2022-2023,2022-08-01,177.0,18405.0,800.0,145.0,1653.0,18582.0,Private,Middle school,Chihuahua,On-site education
2023-06-30,2022-2023,2022-08-01,643.0,2204.0,128.0,23.0,406.0,2847.0,Private,Technical school,Chihuahua,On-site education
2023-06-30,2022-2023,2022-08-01,4692.0,19493.0,1094.0,182.0,2411.0,24185.0,Private,High school,Chihuahua,On-site education
2023-06-30,2022-2023,2022-08-01,8524.0,360462.0,15146.0,2449.0,15172.0,368986.0,Public,Elementary school,Chihuahua,On-site education
2023-06-30,2022-2023,2022-08-01,2284.0,164487.0,5878.0,871.0,9151.0,166771.0,Public,Middle school,Chihuahua,On-site education
2023-06-30,2022-2023,2022-08-01,4392.0,116021.0,3571.0,398.0,7975.0,120413.0,Public,High school,Chihuahua,On-site education
2023-06-30,2022-2023,2022-08-01,347.0,38482.0,1349.0,241.0,1349.0,38829.0,Private,Elementary school,Chihuahua,Mixed
2023-06-30,2022-2023,2022-08-01,177.0,18405.0,800.0,145.0,1653.0,18582.0,Private,Middle school,Chihuahua,Mixed
2023-06-30,2022-2023,2022-08-01,8524.0,360462.0,15146.0,2449.0,15172.0,368986.0,Public,Elementary school,Chihuahua,Mixed
2023-06-30,2022-2023,2022-08-01,2284.0,164487.0,5878.0,871.0,9151.0,166771.0,Public,Middle school,Chihuahua,Mixed
2022-06-30,2021-2022,2021-08-01,,12351.0,633.0,337.0,633.0,12351.0,Private,Pre-school,Chihuahua,On-site education
2022-06-30,2021-2022,2021-08-01,,7872.0,491.0,75.0,144.0,7872.0,Private,Nursery school,Chihuahua,On-site education
2022-06-30,2021-2022,2021-08-01,,99323.0,4785.0,1798.0,4764.0,99323.0,Public,Pre-school,Chihuahua,On-site education
2022-06-30,2021-2022,2021-08-01,,1657.0,158.0,48.0,83.0,1657.0,Public,Nursery school,Chihuahua,On-site education
2022-06-30,2021-2022,2021-08-01,,12351.0,633.0,337.0,633.0,12351.0,Private,Pre-school,Chihuahua,Mixed
2022-06-30,2021-2022,2021-08-01,,7872.0,491.0,75.0,144.0,7872.0,Private,Nursery school,Chihuahua,Mixed
2022-06-30,2021-2022,2021-08-01,,99323.0,4785.0,1798.0,4764.0,99323.0,Public,Pre-school,Chihuahua,Mixed
2022-06-30,2021-2022,2021-08-01,,1657.0,158.0,48.0,83.0,1657.0,Public,Nursery school,Chihuahua,Mixed
2023-06-30,2022-2023,2022-08-01,,13695.0,601.0,326.0,601.0,13695.0,Private,Pre-school,Chihuahua,On-site education
2023-06-30,2022-2023,2022-08-01,,7462.0,426.0,67.0,189.0,7462.0,Private,Nursery school,Chihuahua,On-site education
2023-06-30,2022-2023,2022-08-01,,99598.0,4709.0,1789.0,4679.0,99598.0,Public,Pre-school,Chihuahua,On-site education
2023-06-30,2022-2023,2022-08-01,,2036.0,179.0,51.0,66.0,2036.0,Public,Nursery school,Chihuahua,On-site education
2023-06-30,2022-2023,2022-08-01,,13695.0,601.0,326.0,601.0,13695.0,Private,Pre-school,Chihuahua,Mixed
2023-06-30,2022-2023,2022-08-01,,7462.0,426.0,67.0,189.0,7462.0,Private,Nursery school,Chihuahua,Mixed
2023-06-30,2022-2023,2022-08-01,,99598.0,4709.0,1789.0,4679.0,99598.0,Public,Pre-school,Chihuahua,Mixed
2023-06-30,2022-2023,2022-08-01,,2036.0,179.0,51.0,66.0,2036.0,Public,Nursery school,Chihuahua,Mixed
2022-06-30,2021-2022,2021-08-01,,,128.0,22.0,371.0,2887.0,Private,Technical school,Chihuahua,Mixed
2022-06-30,2021-2022,2021-08-01,,,1099.0,189.0,2429.0,23702.0,Private,High school,Chihuahua,Mixed
2022-06-30,2021-2022,2021-08-01,,,20.0,2.0,27.0,90.0,Public,Technical school,Chihuahua,Mixed
2022-06-30,2021-2022,2021-08-01,,,3555.0,413.0,9340.0,125567.0,Public,High school,Chihuahua,Mixed
2023-06-30,2022-2023,2022-08-01,,,128.0,23.0,406.0,2847.0,Private,Technical school,Chihuahua,Mixed
2023-06-30,2022-2023,2022-08-01,,,1094.0,182.0,2411.0,24185.0,Private,High school,Chihuahua,Mixed
2023-06-30,2022-2023,2022-08-01,,,13.0,2.0,24.0,108.0,Public,Technical school,Chihuahua,Mixed
2023-06-30,2022-2023,2022-08-01,,,3577.0,410.0,8055.0,130702.0,Public,High school,Chihuahua,Mixed
2022-06-30,2021-2022,2021-08-01,17.0,350.0,7.0,6.0,32.0,367.0,Private,High school,Coahuila de Zaragoza,Remote schooling
2022-06-30,2021-2022,2021-08-01,0.0,8879.0,5.0,17.0,238.0,8879.0,Public,High school,Coahuila de Zaragoza,Remote schooling
2022-06-30,2021-2022,2021-08-01,234.0,39656.0,2097.0,249.0,1806.0,39890.0,Private,Elementary school,Coahuila de Zaragoza,On-site education
2022-06-30,2021-2022,2021-08-01,110.0,21537.0,984.0,195.0,2307.0,21647.0,Private,Middle school,Coahuila de Zaragoza,On-site education
2022-06-30,2021-2022,2021-08-01,222.0,3791.0,190.0,52.0,493.0,4013.0,Private,Technical school,Coahuila de Zaragoza,On-site education
2022-06-30,2021-2022,2021-08-01,2331.0,26019.0,1349.0,266.0,3781.0,28350.0,Private,High school,Coahuila de Zaragoza,On-site education
2022-06-30,2021-2022,2021-08-01,616.0,283441.0,10529.0,1581.0,10432.0,284057.0,Public,Elementary school,Coahuila de Zaragoza,On-site education
2022-06-30,2021-2022,2021-08-01,281.0,135124.0,4056.0,454.0,8857.0,135405.0,Public,Middle school,Coahuila de Zaragoza,On-site education
2022-06-30,2021-2022,2021-08-01,4453.0,76907.0,2757.0,362.0,6465.0,81360.0,Public,High school,Coahuila de Zaragoza,On-site education
2022-06-30,2021-2022,2021-08-01,234.0,39656.0,2097.0,249.0,1806.0,39890.0,Private,Elementary school,Coahuila de Zaragoza,Mixed
2022-06-30,2021-2022,2021-08-01,110.0,21537.0,984.0,195.0,2307.0,21647.0,Private,Middle school,Coahuila de Zaragoza,Mixed
2022-06-30,2021-2022,2021-08-01,616.0,283441.0,10529.0,1581.0,10432.0,284057.0,Public,Elementary school,Coahuila de Zaragoza,Mixed
2022-06-30,2021-2022,2021-08-01,281.0,135124.0,4056.0,454.0,8857.0,135405.0,Public,Middle school,Coahuila de Zaragoza,Mixed
2023-06-30,2022-2023,2022-08-01,21.0,710.0,10.0,6.0,64.0,731.0,Private,High school,Coahuila de Zaragoza,Remote schooling
2023-06-30,2022-2023,2022-08-01,17.0,13099.0,4.0,20.0,512.0,13116.0,Public,High school,Coahuila de Zaragoza,Remote schooling
2023-06-30,2022-2023,2022-08-01,362.0,43289.0,2147.0,252.0,1890.0,43651.0,Private,Elementary school,Coahuila de Zaragoza,On-site education
2023-06-30,2022-2023,2022-08-01,28.0,22236.0,996.0,195.0,2306.0,22264.0,Private,Middle school,Coahuila de Zaragoza,On-site education
2023-06-30,2022-2023,2022-08-01,386.0,5031.0,241.0,47.0,548.0,5417.0,Private,Technical school,Coahuila de Zaragoza,On-site education
2023-06-30,2022-2023,2022-08-01,3056.0,27690.0,1380.0,264.0,3658.0,30746.0,Private,High school,Coahuila de Zaragoza,On-site education
2023-06-30,2022-2023,2022-08-01,1181.0,282339.0,10508.0,1579.0,10450.0,283520.0,Public,Elementary school,Coahuila de Zaragoza,On-site education
2023-06-30,2022-2023,2022-08-01,302.0,131397.0,4062.0,453.0,9305.0,131699.0,Public,Middle school,Coahuila de Zaragoza,On-site education
2023-06-30,2022-2023,2022-08-01,2814.0,79954.0,2633.0,354.0,5705.0,82768.0,Public,High school,Coahuila de Zaragoza,On-site education
2023-06-30,2022-2023,2022-08-01,362.0,43289.0,2147.0,252.0,1890.0,43651.0,Private,Elementary school,Coahuila de Zaragoza,Mixed
2023-06-30,2022-2023,2022-08-01,28.0,22236.0,996.0,195.0,2306.0,22264.0,Private,Middle school,Coahuila de Zaragoza,Mixed
2023-06-30,2022-2023,2022-08-01,1181.0,282339.0,10508.0,1579.0,10450.0,283520.0,Public,Elementary school,Coahuila de Zaragoza,Mixed
2023-06-30,2022-2023,2022-08-01,302.0,131397.0,4062.0,453.0,9305.0,131699.0,Public,Middle school,Coahuila de Zaragoza,Mixed
2022-06-30,2021-2022,2021-08-01,,20801.0,1367.0,408.0,1280.0,20801.0,Private,Pre-school,Coahuila de Zaragoza,On-site education
2022-06-30,2021-2022,2021-08-01,,6396.0,383.0,86.0,106.0,6396.0,Private,Nursery school,Coahuila de Zaragoza,On-site education
2022-06-30,2021-2022,2021-08-01,,106946.0,3981.0,1403.0,3954.0,106946.0,Public,Pre-school,Coahuila de Zaragoza,On-site education
2022-06-30,2021-2022,2021-08-01,,1876.0,144.0,30.0,126.0,1876.0,Public,Nursery school,Coahuila de Zaragoza,On-site education
2022-06-30,2021-2022,2021-08-01,,20801.0,1367.0,408.0,1280.0,20801.0,Private,Pre-school,Coahuila de Zaragoza,Mixed
2022-06-30,2021-2022,2021-08-01,,6396.0,383.0,86.0,106.0,6396.0,Private,Nursery school,Coahuila de Zaragoza,Mixed
2022-06-30,2021-2022,2021-08-01,,106946.0,3981.0,1403.0,3954.0,106946.0,Public,Pre-school,Coahuila de Zaragoza,Mixed
2022-06-30,2021-2022,2021-08-01,,1876.0,144.0,30.0,126.0,1876.0,Public,Nursery school,Coahuila de Zaragoza,Mixed
2023-06-30,2022-2023,2022-08-01,,24032.0,1427.0,420.0,1341.0,24032.0,Private,Pre-school,Coahuila de Zaragoza,On-site education
2023-06-30,2022-2023,2022-08-01,,6973.0,402.0,84.0,54.0,6973.0,Private,Nursery school,Coahuila de Zaragoza,On-site education
2023-06-30,2022-2023,2022-08-01,,105903.0,3992.0,1400.0,3937.0,105903.0,Public,Pre-school,Coahuila de Zaragoza,On-site education
2023-06-30,2022-2023,2022-08-01,,2254.0,166.0,30.0,128.0,2254.0,Public,Nursery school,Coahuila de Zaragoza,On-site education
2023-06-30,2022-2023,2022-08-01,,24032.0,1427.0,420.0,1341.0,24032.0,Private,Pre-school,Coahuila de Zaragoza,Mixed
2023-06-30,2022-2023,2022-08-01,,6973.0,402.0,84.0,54.0,6973.0,Private,Nursery school,Coahuila de Zaragoza,Mixed
2023-06-30,2022-2023,2022-08-01,,105903.0,3992.0,1400.0,3937.0,105903.0,Public,Pre-school,Coahuila de Zaragoza,Mixed
2023-06-30,2022-2023,2022-08-01,,2254.0,166.0,30.0,128.0,2254.0,Public,Nursery school,Coahuila de Zaragoza,Mixed
2022-06-30,2021-2022,2021-08-01,,,190.0,52.0,493.0,4013.0,Private,Technical school,Coahuila de Zaragoza,Mixed
2022-06-30,2021-2022,2021-08-01,,,1356.0,272.0,3813.0,28717.0,Private,High school,Coahuila de Zaragoza,Mixed
2022-06-30,2021-2022,2021-08-01,,,2762.0,379.0,6703.0,90239.0,Public,High school,Coahuila de Zaragoza,Mixed
2023-06-30,2022-2023,2022-08-01,,,241.0,47.0,548.0,5417.0,Private,Technical school,Coahuila de Zaragoza,Mixed
2023-06-30,2022-2023,2022-08-01,,,1390.0,270.0,3722.0,31477.0,Private,High school,Coahuila de Zaragoza,Mixed
2023-06-30,2022-2023,2022-08-01,,,2637.0,374.0,6217.0,95884.0,Public,High school,Coahuila de Zaragoza,Mixed
2022-06-30,2021-2022,2021-08-01,0.0,1530.0,11.0,7.0,26.0,1530.0,Public,High school,Colima,Remote schooling
2022-06-30,2021-2022,2021-08-01,105.0,7272.0,426.0,56.0,407.0,7377.0,Private,Elementary school,Colima,On-site education
2022-06-30,2021-2022,2021-08-01,11.0,2657.0,123.0,27.0,353.0,2668.0,Private,Middle school,Colima,On-site education
2022-06-30,2021-2022,2021-08-01,595.0,4083.0,311.0,70.0,853.0,4678.0,Private,High school,Colima,On-site education
2022-06-30,2021-2022,2021-08-01,588.0,64939.0,2934.0,422.0,2886.0,65527.0,Public,Elementary school,Colima,On-site education
2022-06-30,2021-2022,2021-08-01,325.0,32005.0,1179.0,151.0,2698.0,32330.0,Public,Middle school,Colima,On-site education
2022-06-30,2021-2022,2021-08-01,14.0,368.0,11.0,2.0,48.0,382.0,Public,Technical school,Colima,On-site education
2022-06-30,2021-2022,2021-08-01,699.0,23013.0,773.0,113.0,2124.0,23712.0,Public,High school,Colima,On-site education
